accession	d	p	c	o	f	g	s	species
GB_GCA_001873845.1	d__Archaea	p__Altarchaeota	c__Altarchaeia	o__Altarchaeales	f__Altarchaeaceae	g__Altarchaeum	s__Altarchaeum hamiconexum	Altarchaeum hamiconexum
GB_GCA_002841105.1	d__Archaea	p__Altarchaeota	c__Altarchaeia	o__Altarchaeales	f__Altarchaeaceae	g__Altarchaeum	s__Altarchaeum sp002841105	Altarchaeum sp002841105
GB_GCA_001742785.1	d__Archaea	p__Altarchaeota	c__Altarchaeia	o__IMC4	f__IMC4	g__IMC4	s__IMC4 sp001742785	IMC4 sp001742785
GB_GCA_001723835.1	d__Archaea	p__Altarchaeota	c__Altarchaeia	o__IMC4	f__WOR-SM1-SCG	g__WOR-SM1-SCG	s__WOR-SM1-SCG sp001723835	WOR-SM1-SCG sp001723835
GB_GCA_001723855.1	d__Archaea	p__Altarchaeota	c__Altarchaeia	o__IMC4	f__WOR-SM1-SCG	g__WOR-SM1-SCG	s__WOR-SM1-SCG sp001723855	WOR-SM1-SCG sp001723855
GB_GCA_001723845.1	d__Archaea	p__Altarchaeota	c__Altarchaeia	o__IMC4	f__WOR-SM1-SCG	g__WOR-SM1-SCG-A	s__WOR-SM1-SCG-A sp001723845	WOR-SM1-SCG-A sp001723845
GB_GCA_004524545.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__AMARA-1	g__AMARA-1	s__AMARA-1 sp004524545	AMARA-1 sp004524545
GB_GCA_001940655.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__CR-4	g__CR-4	s__CR-4 sp001940655	CR-4 sp001940655
GB_GCA_004524425.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__SDNM01	s__SDNM01 sp004524425	SDNM01 sp004524425
GB_GCA_004375715.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__SOKP01	s__SOKP01 sp004375715	SOKP01 sp004375715
GB_GCA_005222975.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__SOKP01	s__SOKP01 sp005222975	SOKP01 sp005222975
GB_GCA_005223125.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__SOKP01	s__SOKP01 sp005223125	SOKP01 sp005223125
GB_GCA_011364975.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__SOKP01	s__SOKP01 sp011364975	SOKP01 sp011364975
GB_GCA_013375475.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__SOKP01	s__SOKP01 sp013375475	SOKP01 sp013375475
GB_GCA_013375485.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__SOKP01	s__SOKP01 sp013375485	SOKP01 sp013375485
GB_GCA_013375495.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__SOKP01	s__SOKP01 sp013375495	SOKP01 sp013375495
GB_GCA_008080765.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__CR-4	f__SOKP01	g__TEKIR-8	s__TEKIR-8 sp008080765	TEKIR-8 sp008080765
GB_GCA_005191415.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__Helarchaeales	f__HEL-GB-A	g__HEL-GB-A	s__HEL-GB-A sp005191415	HEL-GB-A sp005191415
GB_GCA_013375405.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__Helarchaeales	f__HEL-GB-A	g__HEL-GB-A	s__HEL-GB-A sp013375405	HEL-GB-A sp013375405
GB_GCA_005191425.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__Helarchaeales	f__HEL-GB-B	g__HEL-GB-B	s__HEL-GB-B sp005191425	HEL-GB-B sp005191425
GB_GCA_013375355.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__Helarchaeales	f__JABXJV01	g__JABXJV01	s__JABXJV01 sp013375355	JABXJV01 sp013375355
GB_GCA_011365055.1	d__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__Helarchaeales	f__RDOG01	g__RDOG01	s__RDOG01 sp011365055	RDOG01 sp011365055
GB_GCA_002825465.1	d__Archaea	p__Asgardarchaeota	c__Thorarchaeia	o__Thorarchaeales	f__Thorarchaeaceae	g__MP8T-1	s__MP8T-1 sp002825465	MP8T-1 sp002825465
GB_GCA_002825535.1	d__Archaea	p__Asgardarchaeota	c__Thorarchaeia	o__Thorarchaeales	f__Thorarchaeaceae	g__MP8T-1	s__MP8T-1 sp002825535	MP8T-1 sp002825535
GB_GCA_004524565.1	d__Archaea	p__Asgardarchaeota	c__Thorarchaeia	o__Thorarchaeales	f__Thorarchaeaceae	g__MP8T-1	s__MP8T-1 sp004524565	MP8T-1 sp004524565
GB_GCA_001563335.1	d__Archaea	p__Asgardarchaeota	c__Thorarchaeia	o__Thorarchaeales	f__Thorarchaeaceae	g__SMTZ1-45	s__SMTZ1-45 sp001563335	SMTZ1-45 sp001563335
GB_GCA_001940705.1	d__Archaea	p__Asgardarchaeota	c__Thorarchaeia	o__Thorarchaeales	f__Thorarchaeaceae	g__SMTZ1-45	s__SMTZ1-45 sp001940705	SMTZ1-45 sp001940705
GB_GCA_002825515.1	d__Archaea	p__Asgardarchaeota	c__Thorarchaeia	o__Thorarchaeales	f__Thorarchaeaceae	g__SMTZ1-45	s__SMTZ1-45 sp002825515	SMTZ1-45 sp002825515
GB_GCA_004376265.1	d__Archaea	p__Asgardarchaeota	c__Thorarchaeia	o__Thorarchaeales	f__Thorarchaeaceae	g__SMTZ1-45	s__SMTZ1-45 sp004376265	SMTZ1-45 sp004376265
GB_GCA_011364905.1	d__Archaea	p__Asgardarchaeota	c__Thorarchaeia	o__Thorarchaeales	f__Thorarchaeaceae	g__SMTZ1-45	s__SMTZ1-45 sp011364905	SMTZ1-45 sp011364905
GB_GCA_001563325.1	d__Archaea	p__Asgardarchaeota	c__Thorarchaeia	o__Thorarchaeales	f__Thorarchaeaceae	g__SMTZ1-83	s__SMTZ1-83 sp001563325	SMTZ1-83 sp001563325
RS_GCF_000008665.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus	s__Archaeoglobus fulgidus	Archaeoglobus fulgidus
GB_GCA_011333375.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus	s__Archaeoglobus fulgidus_A	Archaeoglobus fulgidus_A
GB_GCA_002507545.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus	s__Archaeoglobus sp002507545	Archaeoglobus sp002507545
GB_GCA_002010195.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus_A	s__Archaeoglobus_A sp002010195	Archaeoglobus_A sp002010195
GB_GCA_002011215.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus_A	s__Archaeoglobus_A sp002011215	Archaeoglobus_A sp002011215
GB_GCA_002011235.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus_A	s__Archaeoglobus_A sp002011235	Archaeoglobus_A sp002011235
GB_GCA_002494625.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus_A	s__Archaeoglobus_A sp002494625	Archaeoglobus_A sp002494625
GB_GCA_003662985.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus_A	s__Archaeoglobus_A sp003662985	Archaeoglobus_A sp003662985
RS_GCF_000385565.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus_A	s__Archaeoglobus_A sulfaticallidus	Archaeoglobus_A sulfaticallidus
GB_GCA_003663055.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus_C	s__Archaeoglobus_C sp003663055	Archaeoglobus_C sp003663055
GB_GCA_003978865.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus_C	s__Archaeoglobus_C sp003978865	Archaeoglobus_C sp003978865
RS_GCF_000194625.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus_C	s__Archaeoglobus_C veneficus	Archaeoglobus_C veneficus
GB_GCA_003662995.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__B5-G16	s__B5-G16 sp003662995	B5-G16 sp003662995
RS_GCF_000025505.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Ferroglobus	s__Ferroglobus placidus	Ferroglobus placidus
RS_GCF_000789255.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Geoglobus	s__Geoglobus acetivorans	Geoglobus acetivorans
RS_GCF_001006045.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Geoglobus	s__Geoglobus ahangari	Geoglobus ahangari
GB_GCA_011357905.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Geoglobus	s__Geoglobus ahangari_A	Geoglobus ahangari_A
GB_GCA_002494725.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Geoglobus	s__Geoglobus sp002494725	Geoglobus sp002494725
GB_GCA_002010045.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__JdFR-22	s__JdFR-22 sp002010045	JdFR-22 sp002010045
GB_GCA_002010215.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__JdFR-37	s__JdFR-37 sp002010215	JdFR-37 sp002010215
GB_GCA_002010285.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__JdFR-41	s__JdFR-41 sp002010285	JdFR-41 sp002010285
GB_GCA_011367245.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__WYZ-LMO2	s__WYZ-LMO2 fulgidus_A	WYZ-LMO2 fulgidus_A
GB_GCA_011048195.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__WYZ-LMO2	s__WYZ-LMO2 fulgidus_B	WYZ-LMO2 fulgidus_B
GB_GCA_004347825.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__WYZ-LMO2	s__WYZ-LMO2 sp004347825	WYZ-LMO2 sp004347825
GB_GCA_004347865.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__WYZ-LMO2	s__WYZ-LMO2 sp004347865	WYZ-LMO2 sp004347865
GB_GCA_011361745.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__WYZ-LMO2	s__WYZ-LMO2 sp011361745	WYZ-LMO2 sp011361745
GB_GCA_011605865.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__WYZ-LMO2	s__WYZ-LMO2 sp011605865	WYZ-LMO2 sp011605865
GB_GCA_002010305.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__JdFR-42	g__JdFR-42	s__JdFR-42 sp002010305	JdFR-42 sp002010305
GB_GCA_003158275.1	d__Archaea	p__Halobacteriota	c__Bog-38	o__Bog-38	f__Bog-38	g__Bog-38	s__Bog-38 sp003158275	Bog-38 sp003158275
GB_GCA_003162175.1	d__Archaea	p__Halobacteriota	c__Bog-38	o__Bog-38	f__Bog-38	g__Bog-38	s__Bog-38 sp003162175	Bog-38 sp003162175
GB_GCA_001315965.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoculleaceae	g__Methanoculleus	s__Methanoculleus chikugoensis	Methanoculleus chikugoensis
GB_GCA_003136075.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__Methanoregula	s__Methanoregula sp003136075	Methanoregula sp003136075
GB_GCA_003154335.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__Methanoregula	s__Methanoregula sp003154335	Methanoregula sp003154335
GB_GCA_013331015.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__Methanoregula	s__Methanoregula sp11803u	Methanoregula sp11803u
GB_GCA_002254825.2	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__EX4572-44	g__EX4572-44	s__EX4572-44 sp002254825	EX4572-44 sp002254825
GB_GCA_002255135.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__EX4572-44	g__EX4572-44	s__EX4572-44 sp002255135	EX4572-44 sp002255135
GB_GCA_004193545.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__EX4572-44	g__Ethanoperedens	s__Ethanoperedens ethanivorans	Ethanoperedens ethanivorans
GB_GCA_004212095.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__EX4572-44	g__Ethanoperedens	s__Ethanoperedens sp004212095	Ethanoperedens sp004212095
GB_GCA_012910725.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__EX4572-44	g__Ethanoperedens	s__Ethanoperedens thermophilum	Ethanoperedens thermophilum
GB_GCA_013374385.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__HR1	g__QBUR01	s__QBUR01 sp013374385	QBUR01 sp013374385
RS_GCF_000685155.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens nitroreducens	Methanoperedens nitroreducens
RS_GCF_900196725.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens nitroreducens_A	Methanoperedens nitroreducens_A
RS_GCF_002487355.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens sp002487355	Methanoperedens sp002487355
GB_GCA_003104905.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens sp003104905	Methanoperedens sp003104905
GB_GCA_012026795.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens sp012026795	Methanoperedens sp012026795
GB_GCA_012026835.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens sp012026835	Methanoperedens sp012026835
GB_GCA_902384525.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens sp902384525	Methanoperedens sp902384525
GB_GCA_902386085.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens sp902386085	Methanoperedens sp902386085
GB_GCA_902386115.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens sp902386115	Methanoperedens sp902386115
GB_GCA_902386135.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens sp902386135	Methanoperedens sp902386135
GB_GCA_902386255.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens sp902386255	Methanoperedens sp902386255
GB_GCA_002839545.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens_A	s__Methanoperedens_A sp002839545	Methanoperedens_A sp002839545
GB_GCA_013331375.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__UBA10536	s__UBA10536 sp10536u	UBA10536 sp10536u
RS_GCF_004363215.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanimicrococcus	s__Methanimicrococcus blatticola	Methanimicrococcus blatticola
GB_GCA_009776675.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanimicrococcus	s__Methanimicrococcus sp009776675	Methanimicrococcus sp009776675
GB_GCA_009784005.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanimicrococcus	s__Methanimicrococcus sp009784005	Methanimicrococcus sp009784005
GB_GCA_012518265.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanimicrococcus	s__Methanimicrococcus sp012518265	Methanimicrococcus sp012518265
GB_GCA_013330315.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina sp8098u	Methanosarcina sp8098u
GB_GCA_003162615.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Fen-7	s__Fen-7 sp003162615	Fen-7 sp003162615
GB_GCA_013178225.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__JABLXE01	s__JABLXE01 sp013178225	JABLXE01 sp013178225
GB_GCA_002067795.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__MVQI01	s__MVQI01 sp002067795	MVQI01 sp002067795
RS_GCF_000204415.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrix soehngenii	Methanothrix soehngenii
GB_GCA_002067365.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrix sp002067365	Methanothrix sp002067365
GB_GCA_002067705.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrix sp002067705	Methanothrix sp002067705
GB_GCA_002067755.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrix sp002067755	Methanothrix sp002067755
GB_GCA_002256595.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrix sp002256595	Methanothrix sp002256595
GB_GCA_003857025.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrix sp003857025	Methanothrix sp003857025
GB_GCA_011620785.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrix sp011620785	Methanothrix sp011620785
GB_GCA_902385025.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrix sp902385025	Methanothrix sp902385025
GB_GCA_903871465.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrix sp903871465	Methanothrix sp903871465
GB_GCA_002506535.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix_A	s__Methanothrix_A harundinacea_B	Methanothrix_A harundinacea_B
GB_GCA_001509375.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix_A	s__Methanothrix_A harundinacea_D	Methanothrix_A harundinacea_D
RS_GCF_000235565.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix_A	s__Methanothrix_A harundinacea_E	Methanothrix_A harundinacea_E
GB_GCA_001602645.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix_A	s__Methanothrix_A sp001602645	Methanothrix_A sp001602645
GB_GCA_013329455.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix_A	s__Methanothrix_A sp9297u	Methanothrix_A sp9297u
RS_GCF_000014945.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix_B	s__Methanothrix_B thermoacetophila	Methanothrix_B thermoacetophila
GB_GCA_002506335.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__UBA114	s__UBA114 sp002506335	UBA114 sp002506335
GB_GCA_002501765.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__UBA204	s__UBA204 sp002501765	UBA204 sp002501765
GB_GCA_002010075.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia_A	o__Methanosarcinales_A	f__Methermicoccaceae	g__JdFR-19	s__JdFR-19 sp002010075	JdFR-19 sp002010075
GB_GCA_003661015.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia_A	o__Methanosarcinales_A	f__Methermicoccaceae	g__JdFR-19	s__JdFR-19 sp003661015	JdFR-19 sp003661015
RS_GCF_000711905.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia_A	o__Methanosarcinales_A	f__Methermicoccaceae	g__Methermicoccus	s__Methermicoccus shengliensis	Methermicoccus shengliensis
GB_GCA_003194425.1	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__ANME-1	f__ANME-1	g__ANME1a	s__ANME1a sp003194425	ANME1a sp003194425
GB_GCA_003194435.1	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__ANME-1	f__ANME-1	g__G60ANME1	s__G60ANME1 sp003194435	G60ANME1 sp003194435
GB_GCA_011049045.1	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__ANME-1	f__ANME-1	g__JACGMN01	s__JACGMN01 sp011049045	JACGMN01 sp011049045
GB_GCA_003336485.1	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__ANME-1	f__ANME-1	g__QENH01	s__QENH01 sp003336485	QENH01 sp003336485
GB_GCA_009903405.1	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__ANME-1	f__ANME-1	g__QENH01	s__QENH01 sp009903405	QENH01 sp009903405
GB_GCA_013139985.1	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__ANME-1	f__ANME-1	g__QENH01	s__QENH01 sp013139985	QENH01 sp013139985
GB_GCA_013180565.1	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__ANME-1	f__ANME-1	g__QENH01	s__QENH01 sp013180565	QENH01 sp013180565
GB_GCA_013180585.1	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__ANME-1	f__ANME-1	g__QENJ01	s__QENJ01 sp013180585	QENJ01 sp013180585
GB_GCA_013374505.1	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__ANME-1	f__ANME-1	g__QENJ01	s__QENJ01 sp013374505	QENJ01 sp013374505
GB_GCA_003601795.1	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__ANME-1	f__ANME-1	g__QEXZ01	s__QEXZ01 sp003601795	QEXZ01 sp003601795
GB_GCA_003661125.1	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__ANME-1	f__ANME-1	g__QEXZ01	s__QEXZ01 sp003661125	QEXZ01 sp003661125
GB_GCA_013180605.1	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__ANME-1	f__ANME-1	g__QEXZ01	s__QEXZ01 sp013180605	QEXZ01 sp013180605
GB_GCA_003661185.1	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__ANME-1	f__B39-G2	g__B39-G2	s__B39-G2 sp003661185	B39-G2 sp003661185
GB_GCA_001766825.1	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__Syntropharchaeales	f__Syntropharchaeaceae	g__Syntropharchaeum	s__Syntropharchaeum butanivorans	Syntropharchaeum butanivorans
GB_GCA_001766815.1	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__Syntropharchaeales	f__Syntropharchaeaceae	g__Syntropharchaeum_A	s__Syntropharchaeum_A caldarius	Syntropharchaeum_A caldarius
GB_GCA_002897955.1	d__Archaea	p__Hydrothermarchaeota	c__Hydrothermarchaeia	o__Hydrothermarchaeales	f__BMS3B	g__BMS3B	s__BMS3B sp002897955	BMS3B sp002897955
GB_GCA_013152995.1	d__Archaea	p__Hydrothermarchaeota	c__Hydrothermarchaeia	o__Hydrothermarchaeales	f__BMS3B	g__JAADFH01	s__JAADFH01 sp013152995	JAADFH01 sp013152995
GB_GCA_013152685.1	d__Archaea	p__Hydrothermarchaeota	c__Hydrothermarchaeia	o__Hydrothermarchaeales	f__BMS3B	g__JAADFX01	s__JAADFX01 sp013152685	JAADFX01 sp013152685
GB_GCA_002011125.1	d__Archaea	p__Hydrothermarchaeota	c__Hydrothermarchaeia	o__Hydrothermarchaeales	f__Hydrothermarchaeaceae	g__Hydrothermarchaeum	s__Hydrothermarchaeum profundi	Hydrothermarchaeum profundi
GB_GCA_013152845.1	d__Archaea	p__Hydrothermarchaeota	c__Hydrothermarchaeia	o__Hydrothermarchaeales	f__JAADFM01	g__JAADFM01	s__JAADFM01 sp013152845	JAADFM01 sp013152845
GB_GCA_003695745.1	d__Archaea	p__Hydrothermarchaeota	c__Hydrothermarchaeia	o__Hydrothermarchaeales	f__SZUA-236	g__J060	s__J060 sp003695745	J060 sp003695745
GB_GCA_002762985.1	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__UBA12501	g__1-14-0-10-44-13	s__1-14-0-10-44-13 sp002762985	1-14-0-10-44-13 sp002762985
GB_GCA_013415695.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__JAAEEP01	g__JAAEEP01	s__JAAEEP01 sp013415695	JAAEEP01 sp013415695
GB_GCA_011334735.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__JACIVX01	g__JACIVX01	s__JACIVX01 sp011334735	JACIVX01 sp011334735
